allergens,brand,carb_cals,dma_ash,dma_cals,dma_carbs,dma_fat,dma_fiber,dma_prot,dry_wet,fat_cals,ga_ash,ga_carbs,ga_fat,ga_fiber,ga_moist,ga_prot,ingredients,ingredients_paws,name,nutrition_paws,prot_cals,total_cals
,1st choice,,10%,313/100g,40%,11%,7%,32%,dry,,9.0%,36.0%,10.0%,6.0%,10.0%,29.0%,"Chicken,chicken meal,rice,pea protein,brown rice,pearled barley,oat groats,beet pulp,pea fiber,natural flavor,chicken fat naturally preserved with mixed tocopherols,dried tomato pomace,whole flaxseed,lecithin,potassium chloride,choline chloride,salt,calcium carbonate,calcium propionate (as a preservative),sodium bisulfate,taurine,DL-methionine,L-lysine,yeast extract,ferrous sulfate,ascorbic acid (vitamin C),chicory extract,zinc oxide,sodium selenite,alpha-tocopherol acetate (a source of vitamin E),glucosamine sulfate,nicotinic acid,Yucca schidigera extract,chondroitin sulfate,L-cystine,calcium iodate,manganous oxide,L-carnitine,D-calcium pantothenate,thiamine mononitrate,riboflavin,pyridoxine hydrochloride,vitamin A supplement,cholecalciferol (a source of vitamin D3),biotin,dried spearmint,dried parsley,green tea extract,zinc proteinate,vitamin B12 supplement,cobalt carbonate,folic acid,manganese proteinate,copper proteinate",[3],Weight Control,[2],,
,bench & field,,2%,399/100g,37%,22%,3%,36%,dry,,1.9%,33.3%,20.0%,2.8%,10.0%,32.0%,"Chicken Meal,Ground Brown Rice,Chicken Fat (preserved with mixed tocopherols),Oatmeal,Anchovy & Sardine Meal,Flaxseed,Dried Egg Product,Natural Chicken Flavor,Carrots,Pumpkin,Menhaden Fish Oil,Cranberries,Tomato Pomace,Dehydrated Alfalfa Meal,Dried Beef Pulp,Apples,Choline Chloride,Salt,Peas,Potassium Chloride,Organic Quinoa,Inulin,Taurine,Minerals [Zinc Polysaccharide Complex,Iron Polysaccharide Complex,Copper Polysaccharide Complex,Manganese Polysaccharide Complex,Sodium Selenite,Cobalt Carbonate,Potassium Iodide],Vitamins [Beta-Carotene,Vitamin E Supplement,Niacin Supplement,Vitamin A Supplement,d-Calcium Pantothenate,Pyridoxine Hydrochloride,Thiamine Mononitrate,Vitamin D3 Supplement,Biotin,Vitamin B12 Supplement,Folic Acid],Papaya,Dried Kelp,Blueberries,DL-Methionine,Pomegranate,Glucosamine Hydrochloride,Mixed Tocopherols added to preserve freshness,Ground Cinnamon,Ground Fennel,Ground Peppermint,Yucca Schidigera Extract,Dried Lactobacillus acidophilus Fermentation Product,Dried Lactobacillus casei Fermentation Product,Dried Enterococcus faecium Fermentation Product,Dried Bacillus subtilis Fermentation Product,Dried Bacillus licheniformis Fermentation Product,Dried Aspergillus oryzae Fermentation Product,Dried Aspergillus niger Fermentation Product,Rosemary Extract",[3],Holistic Feline Formula,[2],,
,bff,,0%,71/100g,18%,18%,6%,59%,wet,,0.0%,3.0%,3.0%,1.0%,83.0%,10.0%,"Turkey Broth,Turkey,Tuna,Sardine,Dried Egg,Natural Flavor,Coconut Oil,Calcium Sulfate,Locust Bean Gum,Xanthan Gum,Guar Gum,Taurine,Potassium Chloride,Vitamin E Supplement,Zinc Oxide,Niacin Supplement (vitamin B3),Reduced Iron,Thiamine Mononitrate (vitamin B1),Vitamin A Supplement,Sodium Selenite,Vitamin B12 Supplement,Manganese Sulfate,Pyridoxine Hydrochloride (vitamin B6),Copper Amino Acid Complex,Calcium Pantothenate,Riboflavin Supplement (vitamin B2),Biotin,Vitamin D3 Supplement,Folic Acid,Potassium Iodide,Menadione Sodium Bisulfite Complex (source Of Vitamin K)",[3],Turkey & Tuna Twinkles,[4],,
,avoderm,,8%,367/100g,30%,20%,4%,38%,dry,,7.0%,27.0%,18.0%,4.0%,10.0%,34.0%,"Salmon Meal,Salmon (Source of Omega 3),Ground Brown Rice,Ground White Rice,Dried Egg Product,Chicken Fat (Preserved with Mixed Tocopherols),Potato Protein,Oatmeal,Dried Tomato Pomace,Pumpkin,Avocado,Natural Flavor,Dried Chicory Root,Salt,Cranberries,Potassium Chloride,Blueberries,Vitamins (Choline Chloride,a -Tocopherol Acetate (Source of Vitamin E),Niacin,L-Ascorbyl-2-Polyphosphate (Source of Vitamin C),Thiamine Mononitrate (Source of Vitamin B1),Menadione Sodium Bisulfite Complex (Source of Vitamin K),Vitamin A Acetate,Pyridoxine Hydrochloride (Source of Vitamin B6),Calcium Pantothenate,Riboflavin Supplement,Biotin,Vitamin B12 Supplement,Vitamin D3 Supplement,Folic Acid),Minerals (Ferrous Sulfate,Zinc Amino Acid Chelate,Zinc Sulfate,Iron Amino Acid Chelate,Copper Sulfate,Sodium Selenite,Copper Amino Acid Chelate,Manganese Sulfate,Manganese Amino Acid Chelate,Calcium Iodate),Avocado Oil,Taurine,Parsley Flakes,Kelp Meal,DL-Methionine,Yucca Schidigera Extract,Inositol",[2],Salmon & Brown Rice Formula,[2],,
,beaverdam,,0%,365/100g,50%,13%,3%,33%,dry,,0.0%,45.0%,12.0%,3.0%,10.0%,30.0%,"Chicken Meal,Whole Grain Sorghum,Chicken Fat (Preserved with mixed Tocopherols),Brown Rice,Fish Meal,Dried Egg,Flax Seed,Dehydrated Alfalfa Meal,Natural Chicken Flavor,Potassium Chloride,Kelp Meal,Salt,Montmorillonite,Yeast Culture,Monosodium Phosphate,Sodium Bisulfate,Vitamins (Vitamin E Supplement,Niacin Supplement,Thiamine Mononitrate,Vitamin A Supplement,Vitamin B12 Supplement,Biotin,D-Calcium Pantothenate,Riboflavin Supplement,Pyridoxine Hydrochloride,Vitamin D3 Supplement,Folic Acid) Minerals (Calcium Carbonate,Ferrous Sulfate,Zinc Sulfate,Zinc Amino Acid Chelate,Iron Amino Acid Chelate,Copper Sulfate,Sodium Selenite,Copper Amino Acid Chelate,Manganese Sulfate,Manganese Amino Acid Chelate,Calcium Iodate,Cobalt Carbonate) Dried Chicory Root,Choline Chloride,Lecithin,Dried Enterococcus Faecium Fermentation Product,Dried Lactobacillus Acidophilus Fermentation Product,Dried Aspergillus Niger Fermentation Product,Dried Bacillus Subtilis Fermentation Product,Yucca Schidigera Extract,Taurine,Mixed Tocopherols and Citric Acid (Preservatives),Rosemary Extract",[2],Adult Maintenance Formula,[1],,
,blackwood,,14%,82/100g,30%,16%,2%,39%,wet,,3.0%,6.5%,3.5%,0.5%,78.0%,8.5%,"Turkey Broth,Turkey,Lamb Tripe,Peas,Pumpkin Puree,Green Lipped Mussel,Carrots,Carrageenan,Salt,Tetra Sodium Pyrophosphate,Guar Gum,Vitamins & Organic Minerals (Vitamin A Supplement,Vitamin D3 Supplement,Vitamin E Supplement,Thiamine Mononitrate,Riboflavin,Calcium D-Pantothenate,Niacin,Pyridoxine Hydrochloride,Folic Acid,Vitamin B12 Supplement,Choline Chloride,Biotin,Iron Amino Acid Chelate,Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Zinc Amino Acid Chelate,Iodine,Selenium Yeast),Potassium Chloride,Taurine",[2],"Adult Turkey, Tripe & Veggie Recipe",[2],,
,blue buffalo,,0%,351/100g,38%,13%,9%,40%,dry,,0.0%,35.0%,12.0%,8.0%,9.0%,36.0%,"Deboned Chicken,Chicken Meal,Tapioca Starch,Pea Protein,Peas,Pea Fiber,Menhaden Fish Meal (source of Omega 3 Fatty Acids),Chicken Fat (preserved with Mixed Tocopherols),Powdered Cellulose,Flaxseed (source of Omega 6 Fatty Acids),Natural Flavor,Potato Starch,Calcium Chloride,DL-Methionine,Choline Chloride,Calcium Sulfate,Dehydrated Alfalfa Meal,Potatoes,Dried Chicory Root,Potassium Chloride,Potassium Sulfate,Alfalfa Nutrient Concentrate,Calcium Carbonate,Taurine,Salt,Sweet Potatoes,Carrots,preserved with Mixed Tocopherols,L-Carnitine,Vegetable Juice for color,Ferrous Sulfate,Niacin (Vitamin B3),Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Zinc Sulfate,Vitamin E Supplement,Blueberries,Cranberries,Barley Grass,Parsley,Turmeric,Dried Kelp,Yucca Schidigera Extract,Copper Sulfate,Thiamine Mononitrate (Vitamin B1),Copper Amino Acid Chelate,L-Ascorbyl-2-Polyphosphate (source of Vitamin C),L-Lysine,Biotin (Vitamin B7),Vitamin A Supplement,Manganese Sulfate,Manganese Amino Acid Chelate,Pyridoxine Hydrochloride (Vitamin B6),Calcium Pantothenate (Vitamin B5),Riboflavin (Vitamin B2),Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid (Vitamin B9),Dried Yeast,Dried Enterococcus faecium fermentation product,Dried Lactobacillus acidophilus fermentation product,Dried Aspergillus niger fermentation extract,Dried Trichoderma longibrachiatum fermentation extract,Dried Bacillus subtilis fermentation extract,Calcium Iodate,Sodium Selenite,Oil of Rosemary.",[3],Wilderness Weight Control Chicken,[2],,
,best breed,,9%,348/100g,22%,19%,8%,42%,dry,,8.0%,20.0%,17.0%,7.0%,10.0%,38.0%,"Chicken Meal,Egg Product,Chicken Fat (Preserved with Natural Mixed Tocopherols),Red Lentils,Chickpeas,Green Peas,Whitefish Meal,Dried Beet Pulp,Cellulose,Brewers Dried Yeast,Natural Chicken Flavor,Ground Flax Seed,Fish Oil,Cranberries,Blueberries,Lecithin,Kelp Meal,Salt,Potassium Chloride,DL Methionine,L-Lysine,Taurine,Vitamin E Supplement,Niacin Supplement,Biotin,Thiamine Mononitrate,Pyridoxine Hydrochloride,Vitamin A Acetate,Riboflavin Supplement,d-Calcium Pantothenate,Vitamin B12 Supplement,Citric Acid,Vitamin D3 Supplement,Folic Acid,Potassium Chloride,Ferrous Sulfate,Zinc Sulfate,Zinc Proteinate,Iron Proteinate,Zinc Oxide,Copper Sulfate,Manganese Sulfate,Manganese Proteinate,Copper Proteinate,Manganous Oxide,Sodium Selenite,Calcium Iodate",[4],Grain Free Cat Diet,[3],,
,authority,,0%,70/100g,33%,11%,6%,50%,wet,,0.0%,6.0%,2.0%,1.0%,82.0%,9.0%,"Fish Broth,Salmon,Chicken,Chicken Liver,Dried Egg Product,Celery,Potato Starch,Potatoes,Shrimp,Tuna,Dried Skim Milk,Natural Flavor,Tapioca Starch,Guar Gum,Salt,Sodium Phosphate,Sunflower Oil,Potassium Chloride,Iron Amino Acid Chelate,Zinc Amino Acid Chelate,Copper Amino Acid Chelate,Manganese Amino Acid Chelate,Sodium Selenite,Potassium Iodide,Choline Chloride,Thiamine Mononitrate,Vitamin E Supplement,Niacin Supplement,D-Calcium Pantothenate,Pyridoxine Hydrochloride,Riboflavin Supplement,Vitamin A Supplement,Biotin,Vitamin D3 Supplement,Vitamin B12 Supplement,Folic Acid,Carrageenan,Taurine,Parsley,Fish Oil,Thyme,Xanthan Gum",[3],Chef's Entrees Stew - Salmon & Shrimp Chowder,[3],,
,artemis,,0%,357/100g,44%,16%,9%,31%,dry,,0.0%,40.0%,14.0%,8.0%,10.0%,28.0%,"Chicken,Chicken Meal,Barley,Fish Meal,Rice,Powdered Cellulose,Chicken Fat (Preserved with Mixed Tocopherols),Potatoes,Oatmeal,Millet,Flavor Enhancer,Salmon,Turkey,Duck,Flaxseed,Egg Product,Potassium Chloride,Methionine,Choline Chloride,Dried Chicory Root,Taurine,Kelp,Carrots,Apples,Tomatoes,Blueberries,Spinach,Cranberries,Rosemary Extract,Parsley Flake,Pea Powder,Green Tea Extract,Barley Grass Extract,L-Carnitine,Enterococcus Faecieum,Lactobacillus Casei,Lactobacillus Acidophilus,Saccharomyces Cerevesiae Fermentation Solubles,Dried Aspergillus Oryzae Fermentation Extract,Zinc Proteinate,Vitamin E Supplement,Niacin,Manganese Proteinate,Copper Proteinate,Zinc Sulfate,Manganese Sulfate,Copper Sulfate,Thiamine Mononitrate,Vitamin A Supplement,Biotin,Potassium Iodide,Calcium Pantothenate,Riboflavin,Pyridoxine Hydrochloride (vitamin B6),Vitamin B12 Supplement,Manganous Oxide,Sodium Selenite,Vitamin D Supplement,Folic Acid",[3],Fresh Mix Weight Management & Senior,[1],,
